names,scores,logfoldchanges,pvals,pvals_adj,pct_in,pct_out,cluster,gene_idx
HU06G00170,19.78744,2.7460153,3.819641952759769e-87,6.70492212403748e-85,0.568539325842697,0.16541077007903127,10,20606
HU04G00043,19.72809,2.6117823,1.2375661133497202e-86,2.145243509609656e-84,0.5831460674157313,0.19187649329167655,10,4765
HU11G00780,19.630434,3.2366724,8.498659356907053e-86,1.4640392376634604e-83,0.4955056179775256,0.08546223120749863,10,26268
HU06G00852,19.613203,2.5893004,1.1927904074719882e-85,2.042101355014543e-83,0.5932584269662935,0.19132512405807978,10,21288
HU09G00376,19.580402,3.3715336,2.2721590414872243e-85,3.866155277033629e-83,0.4853932584269639,0.07792685168167601,10,18691
HU03G02862,19.38122,3.2094657,1.111780945954153e-83,1.8245706826058244e-81,0.48764044943819984,0.08086748759419216,10,12631
HU05G01289,19.321733,2.8304179,3.526037842158507e-83,5.752627032486246e-81,0.5337078651685382,0.1308582981069666,10,1288
HU06G01628,19.183117,2.7954466,5.121634523027798e-82,8.306931783402104e-80,0.5303370786516841,0.1262635544936601,10,22064
HU04G00822,19.016714,3.7753782,1.2401569286785469e-80,1.9881937813236703e-78,0.45505617977527874,0.06506156956441789,10,5544
HU02G00238,19.011185,3.3564098,1.378037463082317e-80,2.196544197620004e-78,0.47303370786516624,0.07811064142620827,10,13026
HU10G00368,19.005022,2.5660064,1.5497857509968612e-80,2.456189017365597e-78,0.5528089887640446,0.15346443668443444,10,16634
HU02G02543,19.001749,3.8289926,1.6495555066656652e-80,2.5994557941688763e-78,0.4494382022471889,0.05311523616982141,10,15331
HU08G01942,18.920977,2.6443,7.662243682696729e-80,1.1806240474421876e-77,0.5325842696629202,0.1334313545304182,10,25086
HU01G00536,18.843496,3.18613,3.322697300020193e-79,5.091436995362434e-77,0.4786516853932561,0.08399191325124056,10,7502
HU05G00974,18.835476,3.5869873,3.866418395226442e-79,5.859842305552206e-77,0.4674157303370764,0.08950560558720833,10,973
HU08G01006,18.821043,2.7895496,5.077457306511895e-79,7.653439043266707e-77,0.5123595505617957,0.11964712369049879,10,24150
HU06G00325,18.794386,2.8494618,8.394536968399941e-79,1.251733778594475e-76,0.5078651685393236,0.11946333394596653,10,20761
HU03G00514,18.79405,2.46986,8.447913920170741e-79,1.2529566447910991e-76,0.5764044943820231,0.19812534460577336,10,10283
HU06G02470,18.755108,2.5146594,1.758606434064228e-78,2.594412204721881e-76,0.5471910112359545,0.16136739569932157,10,22906
HU08G01783,18.728659,2.6002724,2.8911032272540073e-78,4.242579259676714e-76,0.5561797752808987,0.1670648777798216,10,24927
HU05G01876,18.643385,3.2559447,1.429051492809704e-77,2.0221807731161807e-75,0.46966292134831233,0.07811064142620827,10,1875
HU01G00611,18.611021,2.681146,2.615875726556404e-77,3.6828077805097395e-75,0.5191011235955039,0.1227715493475472,10,7577
HU01G02097,18.533285,3.3203118,1.1128267484172956e-76,1.5588004983511966e-74,0.46853932584269437,0.09079213379893414,10,9063
HU07G01193,18.513552,3.738885,1.6055877661995343e-76,2.23773752238915e-74,0.4382022471910092,0.05035839000183763,10,3533
HU05G01614,18.505362,2.5768843,1.8692234168657707e-76,2.5921455733386074e-74,0.5348314606741562,0.16191876493291835,10,1613
